id,n,p100,p95,p90,p85,p80,p75,p70,p65,p60,p55,p50,p45,p40,p35,p30,p25,p20,p15,p10,p05,p00
510,510,0.147,0.103,0.092,0.087,0.082,0.079,0.077,0.075,0.072,0.070,0.068,0.065,0.063,0.059,0.054,0.052,0.046,0.041,0.036,0.030,0.000
520,520,0.146,0.098,0.090,0.085,0.080,0.077,0.074,0.072,0.069,0.066,0.064,0.062,0.058,0.054,0.050,0.048,0.043,0.039,0.034,0.025,0.000
530,530,0.141,0.096,0.087,0.081,0.077,0.074,0.071,0.069,0.066,0.063,0.061,0.057,0.055,0.051,0.048,0.044,0.041,0.036,0.030,0.023,0.000
540,540,0.153,0.098,0.089,0.085,0.081,0.078,0.075,0.073,0.069,0.066,0.063,0.061,0.058,0.055,0.053,0.049,0.044,0.041,0.036,0.027,0.000
550,550,0.150,0.101,0.093,0.088,0.084,0.080,0.077,0.074,0.072,0.068,0.065,0.063,0.059,0.057,0.053,0.050,0.047,0.042,0.037,0.026,0.000
560,560,0.144,0.100,0.091,0.086,0.082,0.079,0.075,0.072,0.068,0.066,0.063,0.061,0.058,0.056,0.053,0.050,0.047,0.041,0.034,0.026,0.000
570,570,0.148,0.101,0.093,0.088,0.084,0.079,0.076,0.073,0.071,0.067,0.064,0.061,0.058,0.056,0.053,0.051,0.048,0.043,0.039,0.030,0.000
580,580,0.153,0.104,0.095,0.091,0.087,0.083,0.080,0.077,0.073,0.071,0.068,0.064,0.061,0.058,0.055,0.052,0.049,0.044,0.040,0.032,0.000
590,590,0.145,0.101,0.095,0.090,0.085,0.081,0.078,0.075,0.073,0.070,0.067,0.063,0.060,0.057,0.053,0.050,0.047,0.045,0.040,0.030,0.000
600,600,0.148,0.107,0.098,0.093,0.090,0.088,0.085,0.082,0.080,0.077,0.074,0.070,0.067,0.064,0.061,0.057,0.053,0.047,0.041,0.035,0.000
610,610,0.154,0.103,0.096,0.092,0.088,0.085,0.081,0.078,0.075,0.073,0.070,0.066,0.064,0.060,0.056,0.054,0.050,0.046,0.040,0.033,0.000
620,620,0.165,0.110,0.101,0.096,0.092,0.089,0.085,0.083,0.080,0.077,0.074,0.071,0.066,0.063,0.060,0.055,0.052,0.048,0.044,0.036,0.000
630,630,0.164,0.105,0.096,0.092,0.088,0.086,0.083,0.080,0.077,0.074,0.071,0.068,0.063,0.061,0.057,0.054,0.050,0.045,0.041,0.033,0.000
640,640,0.161,0.104,0.095,0.091,0.088,0.085,0.083,0.079,0.076,0.074,0.071,0.068,0.065,0.061,0.058,0.053,0.050,0.046,0.040,0.033,0.000
650,650,0.179,0.105,0.095,0.091,0.089,0.087,0.083,0.080,0.077,0.075,0.071,0.069,0.065,0.060,0.057,0.054,0.051,0.045,0.040,0.032,0.000
660,660,0.150,0.104,0.095,0.090,0.087,0.083,0.081,0.079,0.076,0.074,0.069,0.067,0.064,0.060,0.056,0.052,0.048,0.044,0.038,0.030,0.000
670,670,0.162,0.106,0.094,0.090,0.087,0.084,0.082,0.079,0.076,0.073,0.070,0.067,0.064,0.061,0.056,0.053,0.049,0.044,0.040,0.033,0.000
680,680,0.155,0.107,0.097,0.092,0.088,0.085,0.082,0.079,0.078,0.075,0.072,0.069,0.067,0.063,0.059,0.055,0.050,0.046,0.040,0.035,0.000
690,690,0.156,0.103,0.093,0.089,0.086,0.083,0.081,0.078,0.075,0.073,0.069,0.066,0.063,0.060,0.055,0.052,0.047,0.043,0.038,0.031,0.000
700,700,0.158,0.107,0.096,0.091,0.088,0.085,0.082,0.080,0.077,0.075,0.073,0.070,0.068,0.064,0.060,0.055,0.050,0.045,0.041,0.033,0.000
710,710,0.147,0.106,0.096,0.091,0.087,0.084,0.082,0.079,0.077,0.075,0.072,0.069,0.066,0.063,0.060,0.056,0.050,0.045,0.040,0.032,0.000
720,720,0.159,0.102,0.093,0.089,0.085,0.082,0.079,0.076,0.073,0.070,0.068,0.065,0.061,0.058,0.055,0.052,0.048,0.044,0.038,0.030,0.000
730,730,0.160,0.107,0.095,0.090,0.086,0.083,0.081,0.078,0.076,0.074,0.072,0.069,0.066,0.063,0.059,0.054,0.049,0.045,0.040,0.032,0.000
740,740,0.159,0.105,0.096,0.090,0.085,0.082,0.080,0.077,0.075,0.073,0.070,0.067,0.064,0.061,0.057,0.054,0.049,0.045,0.039,0.030,0.000
750,750,0.157,0.110,0.100,0.093,0.088,0.085,0.082,0.080,0.077,0.075,0.073,0.071,0.068,0.066,0.062,0.057,0.053,0.048,0.041,0.033,0.000
760,760,0.167,0.111,0.101,0.093,0.089,0.085,0.082,0.080,0.078,0.076,0.074,0.070,0.067,0.064,0.061,0.056,0.053,0.049,0.042,0.032,0.000
770,770,0.184,0.115,0.104,0.097,0.094,0.090,0.088,0.085,0.083,0.080,0.077,0.074,0.071,0.069,0.064,0.060,0.056,0.052,0.045,0.035,0.000
780,780,0.159,0.106,0.096,0.090,0.085,0.082,0.080,0.078,0.075,0.073,0.070,0.068,0.064,0.061,0.057,0.052,0.049,0.044,0.040,0.028,0.000
790,790,0.166,0.114,0.105,0.098,0.092,0.089,0.086,0.084,0.081,0.080,0.077,0.075,0.072,0.069,0.066,0.061,0.057,0.052,0.046,0.035,0.000
800,800,0.173,0.119,0.109,0.103,0.096,0.093,0.090,0.086,0.082,0.081,0.078,0.076,0.074,0.071,0.069,0.064,0.061,0.054,0.048,0.039,0.000
810,810,0.169,0.109,0.101,0.094,0.087,0.084,0.081,0.078,0.076,0.074,0.072,0.070,0.066,0.062,0.058,0.055,0.051,0.046,0.041,0.032,0.000
820,820,0.161,0.105,0.098,0.092,0.084,0.080,0.077,0.073,0.071,0.068,0.066,0.063,0.059,0.057,0.054,0.051,0.046,0.042,0.037,0.027,0.000
830,830,0.164,0.109,0.102,0.096,0.088,0.084,0.081,0.078,0.076,0.074,0.071,0.069,0.067,0.064,0.059,0.056,0.053,0.048,0.040,0.032,0.000
840,840,0.164,0.114,0.108,0.101,0.094,0.087,0.084,0.081,0.079,0.076,0.073,0.071,0.067,0.065,0.062,0.059,0.055,0.050,0.045,0.034,0.000
850,850,0.174,0.118,0.111,0.107,0.099,0.092,0.089,0.087,0.084,0.082,0.079,0.076,0.072,0.070,0.067,0.064,0.060,0.054,0.049,0.037,0.000
860,860,0.167,0.116,0.113,0.108,0.100,0.093,0.088,0.085,0.082,0.080,0.076,0.073,0.071,0.067,0.065,0.061,0.057,0.052,0.046,0.035,0.000
