id,n,L1,L2,L3
1034,1034,13,14,12
1036,1036,13,14,15
1038,1038,13,12,15
1040,1040,13,12,15
1042,1042,13,14,15
1044,1044,13,14,15
1046,1046,13,14,12
1048,1048,13,14,15
1050,1050,13,14,12
1052,1052,13,14,15
1054,1054,13,14,15
1056,1056,13,12,15
1058,1058,13,14,15
1060,1060,14,14,15
1062,1062,13,12,12
1064,1064,12,14,15
1066,1066,13,14,15
1068,1068,14,12,12
1070,1070,13,12,15
1072,1072,12,14,15
1074,1074,13,14,15
1076,1076,13,14,15
1078,1078,13,14,15
1080,1080,13,14,15
1082,1082,14,14,15
1084,1084,13,14,15
1086,1086,13,14,15
1088,1088,13,14,15
1090,1090,13,14,12
1092,1092,13,14,15
1094,1094,13,14,15
1096,1096,13,14,12
1098,1098,13,14,15
1100,1100,13,14,15
1102,1102,14,14,15
1104,1104,13,14,15
1106,1106,14,14,15
1108,1108,13,14,15
1110,1110,14,12,12
1112,1112,14,14,12
1114,1114,13,14,15
1116,1116,13,14,12
1118,1118,13,14,15
1120,1120,13,14,12
1122,1122,13,12,15
1124,1124,14,12,15
1126,1126,13,14,15
1128,1128,13,14,12
1130,1130,13,14,15
1132,1132,13,14,15
1134,1134,13,14,15
1136,1136,13,12,15
1138,1138,13,14,15
1140,1140,13,14,15
1142,1142,14,14,15
1144,1144,14,14,12
1146,1146,14,14,15
1148,1148,13,14,15
1150,1150,14,14,15
1152,1152,12,14,15
1154,1154,14,14,15
1156,1156,14,14,12
1158,1158,13,14,15
1160,1160,14,14,15
1162,1162,13,14,15
1164,1164,13,14,12
1166,1166,13,14,12
1168,1168,13,14,15
1170,1170,13,14,12
1172,1172,13,14,15
1174,1174,14,14,15
1176,1176,14,14,15
1178,1178,14,14,15
1180,1180,14,14,15
1182,1182,13,14,15
1184,1184,14,14,15
1186,1186,13,14,12
1188,1188,14,14,15
1190,1190,13,14,15
1192,1192,14,14,15
1194,1194,14,14,15
1196,1196,13,12,15
1198,1198,14,14,15
1200,1200,13,14,15
