id,n,log2(n),log3(n),log4(n)
291,291,8.18,5.16,4.09
292,292,8.19,5.17,4.09
293,293,8.19,5.17,4.10
294,294,8.20,5.17,4.10
295,295,8.20,5.18,4.10
296,296,8.21,5.18,4.10
297,297,8.21,5.18,4.11
298,298,8.22,5.19,4.11
299,299,8.22,5.19,4.11
300,300,8.23,5.19,4.11
301,301,8.23,5.19,4.12
302,302,8.24,5.20,4.12
303,303,8.24,5.20,4.12
304,304,8.25,5.20,4.12
305,305,8.25,5.21,4.13
306,306,8.26,5.21,4.13
307,307,8.26,5.21,4.13
308,308,8.27,5.22,4.13
309,309,8.27,5.22,4.14
310,310,8.28,5.22,4.14
311,311,8.28,5.22,4.14
312,312,8.29,5.23,4.14
313,313,8.29,5.23,4.15
314,314,8.29,5.23,4.15
315,315,8.30,5.24,4.15
316,316,8.30,5.24,4.15
317,317,8.31,5.24,4.15
318,318,8.31,5.24,4.16
319,319,8.32,5.25,4.16
320,320,8.32,5.25,4.16
321,321,8.33,5.25,4.16
322,322,8.33,5.26,4.17
323,323,8.34,5.26,4.17
324,324,8.34,5.26,4.17
325,325,8.34,5.26,4.17
326,326,8.35,5.27,4.17
327,327,8.35,5.27,4.18
328,328,8.36,5.27,4.18
329,329,8.36,5.28,4.18
330,330,8.37,5.28,4.18
331,331,8.37,5.28,4.19
332,332,8.38,5.28,4.19
333,333,8.38,5.29,4.19
334,334,8.38,5.29,4.19
335,335,8.39,5.29,4.19
336,336,8.39,5.29,4.20
337,337,8.40,5.30,4.20
338,338,8.40,5.30,4.20
339,339,8.41,5.30,4.20
340,340,8.41,5.31,4.20
341,341,8.41,5.31,4.21
342,342,8.42,5.31,4.21
343,343,8.42,5.31,4.21
344,344,8.43,5.32,4.21
345,345,8.43,5.32,4.22
346,346,8.43,5.32,4.22
347,347,8.44,5.32,4.22
348,348,8.44,5.33,4.22
349,349,8.45,5.33,4.22
350,350,8.45,5.33,4.23
351,351,8.46,5.33,4.23
352,352,8.46,5.34,4.23
353,353,8.46,5.34,4.23
354,354,8.47,5.34,4.23
355,355,8.47,5.35,4.24
356,356,8.48,5.35,4.24
357,357,8.48,5.35,4.24
358,358,8.48,5.35,4.24
359,359,8.49,5.36,4.24
360,360,8.49,5.36,4.25
361,361,8.50,5.36,4.25
362,362,8.50,5.36,4.25
363,363,8.50,5.37,4.25
