id,n,L
762,762,18
763,763,18
764,764,18
765,765,18
766,766,18
767,767,18
768,768,18
769,769,15
770,770,18
771,771,18
772,772,18
773,773,18
774,774,18
775,775,18
776,776,18
777,777,18
778,778,18
779,779,18
780,780,21
781,781,15
782,782,18
783,783,18
784,784,18
785,785,18
786,786,18
787,787,18
788,788,18
789,789,18
790,790,18
791,791,18
792,792,18
793,793,18
794,794,21
795,795,18
796,796,18
797,797,21
798,798,18
799,799,18
800,800,21
801,801,21
802,802,18
803,803,21
804,804,18
805,805,21
806,806,18
807,807,18
808,808,18
809,809,18
810,810,18
811,811,21
812,812,18
813,813,21
814,814,18
815,815,21
816,816,21
817,817,18
818,818,18
819,819,18
820,820,21
821,821,21
822,822,21
823,823,18
824,824,18
825,825,18
826,826,21
827,827,21
828,828,21
829,829,21
830,830,24
831,831,21
832,832,21
833,833,18
834,834,21
835,835,21
836,836,18
837,837,21
838,838,21
839,839,21
840,840,21
841,841,21
842,842,21
843,843,18
844,844,21
845,845,18
846,846,21
847,847,21
848,848,21
849,849,21
850,850,21
851,851,18
852,852,21
853,853,21
854,854,21
855,855,21
856,856,21
857,857,21
858,858,21
859,859,21
860,860,21
861,861,21
862,862,21
863,863,24
864,864,24
865,865,24
866,866,21
867,867,21
868,868,21
869,869,21
870,870,21
871,871,21
872,872,21
873,873,21
874,874,21
875,875,21
876,876,21
877,877,24
878,878,21
879,879,21
880,880,21
881,881,21
882,882,21
883,883,21
884,884,21
885,885,21
886,886,21
887,887,21
888,888,21
889,889,21
890,890,21
891,891,24
892,892,21
893,893,21
894,894,24
895,895,24
896,896,21
897,897,21
898,898,21
899,899,21
900,900,21
901,901,21
902,902,24
903,903,24
904,904,21
905,905,21
906,906,24
907,907,24
908,908,21
909,909,21
910,910,21
911,911,24
912,912,24
913,913,24
914,914,21
915,915,21
916,916,24
917,917,21
918,918,24
919,919,24
920,920,27
921,921,24
922,922,24
923,923,21
924,924,24
925,925,24
926,926,24
927,927,21
928,928,21
929,929,24
930,930,24
931,931,24
932,932,24
933,933,24
934,934,24
935,935,24
936,936,21
937,937,24
938,938,24
939,939,24
940,940,24
941,941,24
942,942,27
943,943,24
944,944,24
945,945,24
946,946,24
947,947,24
948,948,24
949,949,24
950,950,24
951,951,24
952,952,24
953,953,24
954,954,24
955,955,24
956,956,24
957,957,24
958,958,24
959,959,24
960,960,24
961,961,24
962,962,24
963,963,24
964,964,24
965,965,24
966,966,24
967,967,24
968,968,24
969,969,24
970,970,24
971,971,21
972,972,24
973,973,27
974,974,24
975,975,24
976,976,27
977,977,27
978,978,24
979,979,27
980,980,24
981,981,24
982,982,24
983,983,24
984,984,27
985,985,24
986,986,24
987,987,24
988,988,27
989,989,27
990,990,24
991,991,24
992,992,24
993,993,24
994,994,24
995,995,27
996,996,27
997,997,24
998,998,24
999,999,27
1000,1000,27
