id,n,L
957,957,19.80
958,958,19.81
959,959,19.81
960,960,19.81
961,961,19.82
962,962,19.82
963,963,19.82
964,964,19.83
965,965,19.83
966,966,19.83
967,967,19.83
968,968,19.84
969,969,19.84
970,970,19.84
971,971,19.85
972,972,19.85
973,973,19.85
974,974,19.86
975,975,19.86
976,976,19.86
977,977,19.86
978,978,19.87
979,979,19.87
980,980,19.87
981,981,19.88
982,982,19.88
983,983,19.88
984,984,19.89
985,985,19.89
986,986,19.89
987,987,19.89
988,988,19.90
989,989,19.90
990,990,19.90
991,991,19.91
992,992,19.91
993,993,19.91
994,994,19.91
995,995,19.92
996,996,19.92
997,997,19.92
998,998,19.93
999,999,19.93
1000,1000,19.93
1001,1001,19.93
1002,1002,19.94
1003,1003,19.94
1004,1004,19.94
1005,1005,19.95
1006,1006,19.95
1007,1007,19.95
1008,1008,19.95
1009,1009,19.96
1010,1010,19.96
1011,1011,19.96
1012,1012,19.97
1013,1013,19.97
1014,1014,19.97
1015,1015,19.97
1016,1016,19.98
1017,1017,19.98
1018,1018,19.98
1019,1019,19.99
1020,1020,19.99
1021,1021,19.99
1022,1022,19.99
1023,1023,20.00
1024,1024,20.00
1025,1025,20.00
1026,1026,20.01
1027,1027,20.01
1028,1028,20.01
1029,1029,20.01
1030,1030,20.02
1031,1031,20.02
1032,1032,20.02
1033,1033,20.03
1034,1034,20.03
1035,1035,20.03
1036,1036,20.03
1037,1037,20.04
1038,1038,20.04
1039,1039,20.04
1040,1040,20.04
1041,1041,20.05
1042,1042,20.05
1043,1043,20.05
1044,1044,20.06
1045,1045,20.06
1046,1046,20.06
1047,1047,20.06
1048,1048,20.07
1049,1049,20.07
1050,1050,20.07
1051,1051,20.08
1052,1052,20.08
1053,1053,20.08
1054,1054,20.08
1055,1055,20.09
1056,1056,20.09
1057,1057,20.09
1058,1058,20.09
1059,1059,20.10
1060,1060,20.10
1061,1061,20.10
1062,1062,20.11
1063,1063,20.11
1064,1064,20.11
1065,1065,20.11
1066,1066,20.12
1067,1067,20.12
1068,1068,20.12
1069,1069,20.12
1070,1070,20.13
1071,1071,20.13
1072,1072,20.13
1073,1073,20.13
1074,1074,20.14
1075,1075,20.14
1076,1076,20.14
1077,1077,20.15
1078,1078,20.15
1079,1079,20.15
1080,1080,20.15
1081,1081,20.16
1082,1082,20.16
1083,1083,20.16
1084,1084,20.16
1085,1085,20.17
1086,1086,20.17
1087,1087,20.17
1088,1088,20.17
1089,1089,20.18
1090,1090,20.18
1091,1091,20.18
1092,1092,20.19
1093,1093,20.19
1094,1094,20.19
