id,n,L
678,678,15.99
679,679,15.99
680,680,16.00
681,681,16.00
682,682,16.00
683,683,16.01
684,684,16.01
685,685,16.01
686,686,16.02
687,687,16.02
688,688,16.02
689,689,16.03
690,690,16.03
691,691,16.04
692,692,16.04
693,693,16.04
694,694,16.05
695,695,16.05
696,696,16.05
697,697,16.06
698,698,16.06
699,699,16.06
700,700,16.07
701,701,16.07
702,702,16.07
703,703,16.08
704,704,16.08
705,705,16.08
706,706,16.09
707,707,16.09
708,708,16.09
709,709,16.10
710,710,16.10
711,711,16.11
712,712,16.11
713,713,16.11
714,714,16.12
715,715,16.12
716,716,16.12
717,717,16.13
718,718,16.13
719,719,16.13
720,720,16.14
721,721,16.14
722,722,16.14
723,723,16.15
724,724,16.15
725,725,16.15
726,726,16.16
727,727,16.16
728,728,16.16
729,729,16.17
730,730,16.17
731,731,16.17
732,732,16.18
733,733,16.18
734,734,16.18
735,735,16.19
736,736,16.19
737,737,16.19
738,738,16.20
739,739,16.20
740,740,16.20
741,741,16.21
742,742,16.21
743,743,16.21
744,744,16.22
745,745,16.22
746,746,16.22
747,747,16.23
748,748,16.23
749,749,16.23
750,750,16.24
751,751,16.24
752,752,16.24
753,753,16.25
754,754,16.25
755,755,16.25
756,756,16.26
757,757,16.26
758,758,16.26
759,759,16.27
760,760,16.27
761,761,16.27
762,762,16.28
763,763,16.28
764,764,16.28
765,765,16.28
766,766,16.29
767,767,16.29
768,768,16.29
769,769,16.30
770,770,16.30
771,771,16.30
772,772,16.31
773,773,16.31
774,774,16.31
775,775,16.32
776,776,16.32
777,777,16.32
778,778,16.33
779,779,16.33
780,780,16.33
781,781,16.34
782,782,16.34
783,783,16.34
784,784,16.35
785,785,16.35
786,786,16.35
787,787,16.35
788,788,16.36
789,789,16.36
790,790,16.36
791,791,16.37
792,792,16.37
793,793,16.37
794,794,16.38
795,795,16.38
796,796,16.38
797,797,16.39
798,798,16.39
799,799,16.39
800,800,16.39
801,801,16.40
802,802,16.40
803,803,16.40
804,804,16.41
805,805,16.41
806,806,16.41
807,807,16.42
808,808,16.42
809,809,16.42
810,810,16.43
811,811,16.43
812,812,16.43
813,813,16.43
814,814,16.44
815,815,16.44
816,816,16.44
817,817,16.45
818,818,16.45
819,819,16.45
820,820,16.46
821,821,16.46
822,822,16.46
823,823,16.46
824,824,16.47
825,825,16.47
826,826,16.47
827,827,16.48
828,828,16.48
829,829,16.48
830,830,16.48
831,831,16.49
832,832,16.49
833,833,16.49
834,834,16.50
835,835,16.50
836,836,16.50
837,837,16.51
838,838,16.51
839,839,16.51
840,840,16.51
