id,n,L
1134,1134,15.22
1135,1135,15.22
1136,1136,15.22
1137,1137,15.23
1138,1138,15.23
1139,1139,15.23
1140,1140,15.23
1141,1141,15.23
1142,1142,15.24
1143,1143,15.24
1144,1144,15.24
1145,1145,15.24
1146,1146,15.24
1147,1147,15.25
1148,1148,15.25
1149,1149,15.25
1150,1150,15.25
1151,1151,15.25
1152,1152,15.25
1153,1153,15.26
1154,1154,15.26
1155,1155,15.26
1156,1156,15.26
1157,1157,15.26
1158,1158,15.27
1159,1159,15.27
1160,1160,15.27
1161,1161,15.27
1162,1162,15.27
1163,1163,15.28
1164,1164,15.28
1165,1165,15.28
1166,1166,15.28
1167,1167,15.28
1168,1168,15.28
1169,1169,15.29
1170,1170,15.29
1171,1171,15.29
1172,1172,15.29
1173,1173,15.29
1174,1174,15.30
1175,1175,15.30
1176,1176,15.30
1177,1177,15.30
1178,1178,15.30
1179,1179,15.31
1180,1180,15.31
1181,1181,15.31
1182,1182,15.31
1183,1183,15.31
1184,1184,15.31
1185,1185,15.32
1186,1186,15.32
1187,1187,15.32
1188,1188,15.32
1189,1189,15.32
1190,1190,15.33
1191,1191,15.33
1192,1192,15.33
1193,1193,15.33
1194,1194,15.33
1195,1195,15.33
1196,1196,15.34
1197,1197,15.34
1198,1198,15.34
1199,1199,15.34
